Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-01-02,How to Train Your Dragon,2025,https://boxd.it/cmZPAF,4,,"dragões, live action",2026-01-01
2026-01-04,In the Lost Lands,2025,https://boxd.it/cqNUFn,2.5,,"fantasia, sombrio, ação",2026-01-04
2026-01-07,Planet of the Apes,1968,https://boxd.it/cuPCtX,3.5,,"ação, aventura",2026-01-06
2026-01-10,Stranger Things 5: The Finale,2025,https://boxd.it/cyxuNl,3,,"ação, ficção",2026-01-09
2026-01-10,Avatar: Fire and Ash,2025,https://boxd.it/cyxXRB,4,,,2026-01-09
2026-01-13,I'm Still Here,2024,https://boxd.it/cBCUiP,5,,"drama, histórico, goldenglobe",2026-01-12
2026-01-14,Mortal Engines,2018,https://boxd.it/cCSa81,3.5,,,2026-01-13
2026-01-15,Materialists,2025,https://boxd.it/cDTdkl,3,,"romance, pedro pascal",2026-01-14
2026-01-19,Dune,2021,https://boxd.it/cHKEKt,3,,"ficção, científico",2026-01-16
2026-01-20,Dune: Part Two,2024,https://boxd.it/cJc7Yx,4,,"ação, ficção, científico",2026-01-18
2026-01-25,Alvin and the Chipmunks,2007,https://boxd.it/cOcstP,2.5,,infantil,2026-01-19
2026-01-25,The Blue Trail,2025,https://boxd.it/cOosgb,4.5,,brasileiro,2026-01-25
2026-01-25,Night at the Museum,2006,https://boxd.it/cOsuqb,3,,"ficção, sessão da tarde",2026-01-25
2026-01-29,The Green Knight,2021,https://boxd.it/cSLNtR,4,,"aventura, ficção, a24",2026-01-28
2026-02-08,The Secret Agent,2025,https://boxd.it/d27Iwr,4.5,,"goldenglobe, ficção, brasileiro",2026-02-07
2026-02-08,Train Dreams,2025,https://boxd.it/d2m14J,3.5,,,2026-02-07
2026-02-09,"Basic Sanitation, the Movie",2007,https://boxd.it/d2RLr7,3.5,,,2026-02-08
2026-02-09,Zootopia 2,2025,https://boxd.it/d3e1uv,3,,,2026-02-08
2026-02-10,Legally Blonde,2001,https://boxd.it/d48gtT,3,,,2026-02-09
2026-02-10,Death of a Unicorn,2025,https://boxd.it/d4eNnh,2.5,,,2026-02-09
2026-02-14,Jurassic World Rebirth,2025,https://boxd.it/d7nrIx,2,,"ficção, oscar, ação",2026-02-13
2026-03-07,One Battle After Another,2025,https://boxd.it/dq4Plv,3,,"ação, oscar",2026-02-13
2026-02-15,The Nice Guys,2016,https://boxd.it/d7NxzX,3,,"ação, investigação",2026-02-14
2026-02-16,Weapons,2025,https://boxd.it/d8TxYJ,4,,"oscar, ficção, suspense",2026-02-15
2026-02-22,The Darjeeling Limited,2007,https://boxd.it/df0qVr,3.5,,wes anderson,2026-02-21
2026-02-22,Bird Box,2018,https://boxd.it/df3jLl,3,Yes,"ficção, suspense",2026-02-21
2026-03-01,Hairspray,2007,https://boxd.it/dlhYXp,3,Yes,musical,2026-02-21
2026-03-04,Army of Darkness,1992,https://boxd.it/dnTvVj,2.5,,"prime video, sam reimi",2026-03-02
2026-03-05,The Bluff,2026,https://boxd.it/dolhqR,2.5,,ação,2026-03-04
2026-03-07,Inglourious Basterds,2009,https://boxd.it/dq50xR,3.5,,quentin tarantino,2026-03-04
2026-03-22,Her,2013,https://boxd.it/dCHyCP,4,,"ficção, científico, netflix, filosófico",2026-03-07
2026-03-18,Donnie Darko,2001,https://boxd.it/dzmpp9,4.5,,"2001, ficção",2026-03-17
2026-03-19,Together,2025,https://boxd.it/dA2hsj,2.5,,"suspense, ficção",2026-03-18
2026-03-22,Lost in Translation,2003,https://boxd.it/dCIGlJ,4,,"não ficção, drama",2026-03-21
2026-03-24,I Think We're Alone Now,2018,https://boxd.it/dEIvaD,2,,"drama, ficção",2026-03-23
2026-03-25,The Phoenician Scheme,2025,https://boxd.it/dFBmKd,4,,"ação, comédia, sombrio",2026-03-24
2026-03-26,Project Hail Mary,2026,https://boxd.it/dGsWdb,5,,"ficção, aventura, drama, científico",2026-03-25
2026-03-27,Predator: Badlands,2025,https://boxd.it/dH8CNd,3,,"ação, ficção científica",2026-03-26
2026-03-31,My Neighbor Adolf,2022,https://boxd.it/dKEyh9,2.5,,drama,2026-03-27
2026-04-02,A Walk to Remember,2002,https://boxd.it/dMKssF,3,,"romance, drama, 2002",2026-04-01
2026-04-02,Ice Age,2002,https://boxd.it/dMONmh,4,Yes,"aventura, infantil, 2002",2026-04-01
2026-04-03,Spirit: Stallion of the Cimarron,2002,https://boxd.it/dNKvRx,4,Yes,"2002, aventura, infantil",2026-04-02
2026-04-04,Resident Evil,2002,https://boxd.it/dOzPa1,3,,"ação, 2002, ficção científica",2026-04-03
2026-04-04,Blade II,2002,https://boxd.it/dOKh5X,3.5,,"ação, terror",2026-04-03
2026-04-05,The Super Mario Galaxy Movie,2026,https://boxd.it/dPVeW1,3.5,,"ação, aventura",2026-04-04
2026-04-06,Spider-Man,2002,https://boxd.it/dQXNuz,4,Yes,"sam reimi, ação, 2002",2026-04-05
2026-04-07,Panic Room,2002,https://boxd.it/dRziij,3,,"suspense, 2002, não ficção, tela quente",2026-04-06
2026-04-07,The Bourne Identity,2002,https://boxd.it/dS0uG7,4,,"ação, sessão da tarde, 2002",2026-04-06
2026-04-08,Scooby-Doo,2002,https://boxd.it/dT102H,4,Yes,"2002, aventura, fantasia, live action",2026-04-07
2026-04-09,Lilo & Stitch,2002,https://boxd.it/dTEyOj,3.5,Yes,"2002, infantil",2026-04-08
2026-04-10,Minority Report,2002,https://boxd.it/dUvjkJ,4,,"ação, ficção científica, 2002",2026-04-09
2026-04-15,Signs,2002,https://boxd.it/dYO4XZ,3.5,,"2002, ficção, suspense",2026-04-13
2026-04-15,Treasure Planet,2002,https://boxd.it/dYVbgx,4,Yes,"2002, infantil, ação",2026-04-14
2026-04-17,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/e0lkXh,4,Yes,"ficção científica, 2002, aventura",2026-04-16
2026-04-20,The Drama,2026,https://boxd.it/e2O1EV,4,,drama,2026-04-18
2026-04-20,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/e2ODuf,3.5,Yes,"aventura, infantil, 2002",2026-04-19
2026-04-20,Stuart Little 2,2002,https://boxd.it/e2P2VP,4,,"2002, infantil, aventura",2026-04-19
2026-04-23,Men in Black II,2002,https://boxd.it/e569KV,3.5,,"2002, ação, ficção científica",2026-04-20
2026-04-23,Catch Me If You Can,2002,https://boxd.it/e58WW1,4,,"2002, não ficção, sessão da tarde",2026-04-21
2026-04-23,City of God,2002,https://boxd.it/e59IRj,5,,"2002, baseado em fatos reais, tela quente",2026-04-22
2026-04-26,The Lord of the Rings: The Two Towers,2002,https://boxd.it/e7gKIZ,4,Yes,"2002, ficção, aventura",2026-04-24
2026-04-26,8 Mile,2002,https://boxd.it/e7idIr,4,,"2002, bibliográfico",2026-04-25
2026-04-26,Spy Kids 2: The Island of Lost Dreams,2002,https://boxd.it/e7pbr3,3.5,Yes,"2002, ação, aventura, infantil, sessão da tarde",2026-04-25
2026-04-27,Chicago,2002,https://boxd.it/e7T9UR,4,,"2002, musical",2026-04-26
2026-05-04,Pulp Fiction,1994,https://boxd.it/edEfNL,3.5,,"quentin tarantino, ficção",2026-05-02
2026-05-11,Everything Everywhere All at Once,2022,https://boxd.it/ejyOIN,4,Yes,"a24, oscar, 2022",2026-05-09
2026-05-27,Ford v Ferrari,2019,https://boxd.it/ewGoMd,3.5,Yes,"não ficção, corrida",2026-05-26
2026-06-01,The Devil Wears Prada 2,2026,https://boxd.it/eAKwQr,4,,"cinema, moda",2026-05-30
