Date,Name,Year,Letterboxd URI
2026-01-02,How to Train Your Dragon,2025,https://boxd.it/F7Je
2026-01-10,Avatar: Fire and Ash,2025,https://boxd.it/2W7s
2026-01-13,I'm Still Here,2024,https://boxd.it/BPEO
2026-01-19,Dune,2021,https://boxd.it/fA7G
2026-01-20,Dune: Part Two,2024,https://boxd.it/pUfA
2026-01-25,Night at the Museum,2006,https://boxd.it/28wi
2026-01-29,The Green Knight,2021,https://boxd.it/kuy2
2026-02-08,The Secret Agent,2025,https://boxd.it/KkUE
2026-03-18,Donnie Darko,2001,https://boxd.it/2b2A
2026-03-26,Project Hail Mary,2026,https://boxd.it/pEeQ
2026-04-10,Minority Report,2002,https://boxd.it/2aWi
2026-05-11,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2026-05-27,Ford v Ferrari,2019,https://boxd.it/ce74
2026-06-01,The Devil Wears Prada 2,2026,https://boxd.it/Oags
