Date,Name,Year,Letterboxd URI,Rating
2026-01-02,How to Train Your Dragon,2025,https://boxd.it/F7Je,4
2026-01-04,In the Lost Lands,2025,https://boxd.it/ayFc,2.5
2026-01-07,Planet of the Apes,1968,https://boxd.it/29p8,3.5
2026-01-10,Stranger Things 5: The Finale,2025,https://boxd.it/YqXW,3
2026-01-10,Avatar: Fire and Ash,2025,https://boxd.it/2W7s,4
2026-01-13,I'm Still Here,2024,https://boxd.it/BPEO,5
2026-01-14,Mortal Engines,2018,https://boxd.it/fahg,3.5
2026-01-15,Materialists,2025,https://boxd.it/GZlW,3
2026-01-19,Dune,2021,https://boxd.it/fA7G,3
2026-01-20,Dune: Part Two,2024,https://boxd.it/pUfA,4
2026-01-25,Alvin and the Chipmunks,2007,https://boxd.it/21E0,2.5
2026-01-25,The Blue Trail,2025,https://boxd.it/IrKi,4.5
2026-01-25,Night at the Museum,2006,https://boxd.it/28wi,3
2026-01-29,The Green Knight,2021,https://boxd.it/kuy2,4
2026-02-08,The Secret Agent,2025,https://boxd.it/KkUE,4.5
2026-02-08,Train Dreams,2025,https://boxd.it/LdDo,3.5
2026-02-09,"Basic Sanitation, the Movie",2007,https://boxd.it/1oC,3.5
2026-02-09,Zootopia 2,2025,https://boxd.it/F0vO,3
2026-02-10,Legally Blonde,2001,https://boxd.it/1ZNa,3
2026-02-10,Death of a Unicorn,2025,https://boxd.it/HCPm,2.5
2026-02-14,Jurassic World Rebirth,2025,https://boxd.it/KUeE,2
2026-02-15,The Nice Guys,2016,https://boxd.it/94Hg,3
2026-02-16,Weapons,2025,https://boxd.it/EMTM,4
2026-02-22,The Darjeeling Limited,2007,https://boxd.it/24as,3.5
2026-02-22,Bird Box,2018,https://boxd.it/eh1i,3
2026-03-01,Hairspray,2007,https://boxd.it/261M,3
2026-03-04,Army of Darkness,1992,https://boxd.it/29G4,2.5
2026-03-05,The Bluff,2026,https://boxd.it/u6E6,2.5
2026-03-07,One Battle After Another,2025,https://boxd.it/DUHM,3
2026-03-07,Inglourious Basterds,2009,https://boxd.it/1JzG,3.5
2026-03-18,Donnie Darko,2001,https://boxd.it/2b2A,4.5
2026-03-19,Together,2025,https://boxd.it/LdFE,2.5
2026-03-22,Her,2013,https://boxd.it/4O24,4
2026-03-22,Lost in Translation,2003,https://boxd.it/2b0E,4
2026-03-24,I Think We're Alone Now,2018,https://boxd.it/g72u,2
2026-03-25,The Phoenician Scheme,2025,https://boxd.it/H0Ca,4
2026-03-26,Project Hail Mary,2026,https://boxd.it/pEeQ,5
2026-03-27,Predator: Badlands,2025,https://boxd.it/LeK6,3
2026-03-31,My Neighbor Adolf,2022,https://boxd.it/BHpm,2.5
2026-04-02,A Walk to Remember,2002,https://boxd.it/1WLq,3
2026-04-02,Ice Age,2002,https://boxd.it/2apS,4
2026-04-03,Spirit: Stallion of the Cimarron,2002,https://boxd.it/1Zmo,4
2026-04-04,Resident Evil,2002,https://boxd.it/28z2,3
2026-04-04,Blade II,2002,https://boxd.it/1agO,3.5
2026-04-05,The Super Mario Galaxy Movie,2026,https://boxd.it/KzPa,3.5
2026-04-06,Spider-Man,2002,https://boxd.it/2a8i,4
2026-04-07,Panic Room,2002,https://boxd.it/2490,3
2026-04-07,The Bourne Identity,2002,https://boxd.it/26EO,4
2026-04-08,Scooby-Doo,2002,https://boxd.it/1YaQ,4
2026-04-09,Lilo & Stitch,2002,https://boxd.it/1TAY,3.5
2026-04-10,Minority Report,2002,https://boxd.it/2aWi,4
2026-04-15,Signs,2002,https://boxd.it/26t2,3.5
2026-04-15,Treasure Planet,2002,https://boxd.it/1Znm,4
2026-04-17,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,4
2026-04-20,The Drama,2026,https://boxd.it/OA2w,4
2026-04-20,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3.5
2026-04-20,Stuart Little 2,2002,https://boxd.it/1UTW,4
2026-04-23,Men in Black II,2002,https://boxd.it/2a0y,3.5
2026-04-23,Catch Me If You Can,2002,https://boxd.it/29VS,4
2026-04-23,City of God,2002,https://boxd.it/2a2a,5
2026-04-26,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4
2026-04-26,8 Mile,2002,https://boxd.it/2bew,4
2026-04-26,Spy Kids 2: The Island of Lost Dreams,2002,https://boxd.it/1Yyo,3.5
2026-04-27,Chicago,2002,https://boxd.it/28zm,4
2026-05-04,Pulp Fiction,1994,https://boxd.it/29Pq,3.5
2026-05-11,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2026-05-27,Ford v Ferrari,2019,https://boxd.it/ce74,3.5
2026-06-01,The Devil Wears Prada 2,2026,https://boxd.it/Oags,4
