Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2026-01-02,How to Train Your Dragon,2025,https://boxd.it/cmZPAF,4,,"Os dragões não ficaram estranhos nas interações com os humanos-cenários. (Com alguns momentos sim, mas dá pra relevar)

O design dos dragões ficaram bem legais no live action. Fico curioso pra ver como seriam os dragões dos próximos filmes. Vão precisar de um investimento gigantesco.

Dito isso, é um bom filme, sessão da tarde. Como o original animado.","dragões, live action",2026-01-01
2026-01-04,In the Lost Lands,2025,https://boxd.it/cqNUFn,2.5,,"Definitivamente um filme muito esforçado. Mas que peca muito no roteiro, senti que as coisas não tinham tanta profundidade. Mas gostei de como foi apresentado o plot no final.

Acredito que se mudassem uma coisa ali e aqui ficava um pouco mais pé no chão.
Tinham muitos elementos misturados que fazem com que pareça que o diretor quis atirar pra todos os lados.

Uma mistura de Mad Max, Eu sou a Lenda, Faroeste e um pouco do que são os filmes da Milla Jovovich (Muito CGI e câmera lenta).

Seria um bom filme Tela Quente pra ver nas noites de segunda.","fantasia, sombrio, ação",2026-01-04
2026-01-07,Planet of the Apes,1968,https://boxd.it/cuPCtX,3.5,,"Nota 3.5, por causa do meu repertório ser mais contemporâneo. Mas se eu visse na época quem lançou seria totalmente 4.5.

Sem dúvidas um clássico, apesar de ser um filme datado com aquela saturação da época. Não deixa de ser um ótimo exemplo de pontos de vista criativos com a câmera. 
Passeando entre cenas internas e estáticas até às cenas mais abertas com o cenário externo.
Sinto que foi um pouco arrastado para chegar até o final, mas acho que seja uma assinatura dos filmes da época. Ou talvez seja o meu discernimento que está acostumado com tudo é agora.

Apesar de ter visto a sequência de filmes reboot primeiro, gostei mais da ideia original onde me parece mais ficção científica do que os filmes atuais. Talvez se fizessem um remake desse sem zoar muito com a história e também aproveitar bastante de efeito prático, traga uma nova visão com a geração atual sobre esse filme.

Fiquei instigado a assistir os outros, em breve trarei reviews.","ação, aventura",2026-01-06
2026-01-10,Stranger Things 5: The Finale,2025,https://boxd.it/cyxuNl,3,,"Compreendo toda a comoção que rolou com esses final, dentre todas as teorias. Muitos não aceitaram este final, por vários motivos, de furos a pontas soltas.
Sei que poderiam ter feito melhor e mais dramático, mas aceito este final como o mesmo conselho que o Hopper deu para o Mike. 

Após 10 anos de série, aprendemos muito com isso. É apesar de poder ser muito melhor, muito mais épico. Deram um final pro sofrimento da Eleven. E isso foi o suficiente.

Infelizmente a série virou algo comercial, cresceu graças a identificação tanto dos adultos que viveram na época que se passa mas também por ter protagonistas crianças. Por um lado isso é ótimo. Mas parece que descartaram a profundidade que poderia ter.","ação, ficção",2026-01-09
2026-01-10,Avatar: Fire and Ash,2025,https://boxd.it/cyxXRB,4,,"Elementos do primeiro filme, misturado com o que viemos no segundo. 

Ainda sim, tudo muito lindo e grandioso como quase todo o filme do James Cameron.

Sobre a continuidade da história, parece que querem manter o coronel vivo, apenas para ter um conflito no próximo filme. Como se só existe ele dentro do exército pra combater o Jake Sully.

Pelo menos aproveitaram bem a ideia de apresentar uma tribo ""Chaotic Evil"" que se aliam aos pele rosada. 

Mas um mundo tão complexo com fauna, flora e cultura tão profunda. Demora muito pra apresentar coisas novas. Tinham que apresentar mais tribos, trazer aquela energia imersiva que sentimos no primeiro filme. 
Agora tudo se resume em minutos de felicidade / horas de conflito fugindo do exército.

Espero que se houver um próximo filme, desenvolvam mais a profundidade do planeta e a mãe Eywa.

Não entendo o motivo do Spyder existir. Parece apenas uma peça de conflito que conversa com a necessidade de colocarem o exército em tudo. Ele parece que foi algo adicionado depois do roteiro estar pronto. Não senti necessidade dele estar lá no meio.",,2026-01-09
2026-01-13,I'm Still Here,2024,https://boxd.it/cBCUiP,5,,"Primeiro 5 estrelas. 
Me arrependo de não ter visto antes, digno de ver, mais de uma vez no cinema.

Realidade de uma época terrível que ocorreu no país. Um filme tão imersivo que trouxe a sensação de cada cena pro meu sofá enquanto assistia. Apesar de já ser conhecimento sobre a história da Eunice Paiva. Fiquei realmente tenso a cada vez que o filme ia se aprofundando cada vez mais.

A <b>Fernanda merecia 2 globos de ouro</b> por este filme. Sua atuação foi tão perfeita, que ao ver fotos da Eunice de verdade, parecia que ela era a atriz.
Todos os atores e atrizes presentes fizeram um ótimo trabalho em seus respectivos papéis. Mas a participação do Selton Mello como Rubens foi incrível, um bom pai, um bom marido.

Toda a ambientação do filme foi perfeita, desde trilha sonora até objetos de cena, cada mínimo detalhe que teve menos de 1 minuto. Foi crucial pra deixar a cena mais crível.","drama, histórico, goldenglobe",2026-01-12
2026-01-14,Mortal Engines,2018,https://boxd.it/cCSa81,3.5,,"Não dava nada pra esse filme, mas realmente é bom. Trouxe conceitos interessantes e os CGI são impressionantes. Não senti nenhuma estranheza de tela verde nas interações de pessoas e grandes máquinas.
É um filme bom, ótimo pra tela quente de segunda.

A história é coesa e tem uma vibe Borderlands. Beira o limite do exagero, mas é no ideal. Tudo bem balanceado. Não senti falta de uma continuação, porém sinto que poderiam ter apresentado o povo além da muralha antes. Não deu muito tempo pra se importar o suficiente com eles.

Sobre o zumbi perseguidor, achei muito legal o conceito escolhido pra esse personagem. Trouxe bastante profundidade pra protagonista Hester Shaw.",,2026-01-13
2026-01-15,Materialists,2025,https://boxd.it/cDTdkl,3,,"Não é um romancezão clichê. Mas tem uma história interessante e diferente.

Particularmente não concordei com essa ideia de ser materialista. Mas acho que foi necessário nesse caso para dar uma profundidade boa pra personagem e também servir como redenção no final.

E os dois opostos personagens do Chris Evans e do Pedro Pascal foi interessante pra colocar a personagem da Dakota Johnson na balança do que ela realmente quer pra vida dela.","romance, pedro pascal",2026-01-14
2026-01-19,Dune,2021,https://boxd.it/cHKEKt,3,,"Inicialmente me senti bastante perdido, mas não por culpa do filme em si e sim por causa de que é um universo completamente já feito com muitos elementos já impostos e construídos. Me senti jogado no meio de uma trama que já estava rolando. 
Claro, é o início da história de Paul Atraides, mas ainda sim tive essa sensação de tenho saber mais coisas para compreender o contexto, ao menos dar a devida importância.

Sobre a direção de cena, impecável. Toda a grandiosidade do deserto é incrível.
Nas primeiras cenas, achei os trajes exagerados nos detalhes. Porém mudei de ideia quando me toquei que estão nos anos 10.000. Nesse caso acho justo que seja algo diferente e ainda mais que tenha toda a tecnologia mostrada nos trajes dos Fremens.

Falando neles, gostei muito da cultura desertica que trás detalhes de de vários pontos das culturas que vemos hoje.

O detalhe das vozes, que o Paulo Atreides e a mãe dele é interessante. Mas é um ponto chave que tem que ser bem utilizado pra não ser apelativo.","ficção, científico",2026-01-16
2026-01-20,Dune: Part Two,2024,https://boxd.it/cJc7Yx,4,,"Esse aqui foi bem melhor que o primeiro filme.
A ascenção ao poder de Paul Atraides foi bem desenvolvida e pude ver isso acontecendo ao longo do filme. Com bastante ênfase na sua aparência que evolui muito desde o primeiro filme. Se tornando que ele foi predestinado a ser.
Não sei muito sobre o universo de duna, mas consigo ver os motivos dos livros serem tão grandes. 

Vi muitos contrastes de cenários, que por sinal são ótimos. Foi a parte que mais gostei, ver as grandiosidades tanto internamente quando por fora.

No aguardo do próximo filme.","ação, ficção, científico",2026-01-18
