Date,Name,Year,Letterboxd URI
2026-01-03,Mickey 17,2025,https://boxd.it/q1Dk
2026-01-03,Frankenstein,2025,https://boxd.it/Ecsg
2026-01-03,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C
2026-01-03,KPop Demon Hunters,2025,https://boxd.it/ufwK
2026-01-03,F1,2025,https://boxd.it/yjVM
2026-01-03,A Minecraft Movie,2025,https://boxd.it/zRro
2026-01-03,Adolescence,2025,https://boxd.it/TFGw
2026-01-03,Captain America: Brave New World,2025,https://boxd.it/uYDm
2026-01-03,Freakier Friday,2025,https://boxd.it/GxwW
2026-01-03,Snow White,2025,https://boxd.it/fVuc
2026-01-03,Elio,2025,https://boxd.it/CFr8
2026-01-03,War of the Worlds,2025,https://boxd.it/so0a
2026-01-03,The Electric State,2025,https://boxd.it/tev0
2026-01-03,Dracula,2025,https://boxd.it/Lng0
2026-01-03,Anaconda,2025,https://boxd.it/KV9g
2026-01-03,Caramelo,2025,https://boxd.it/MJhc
2026-01-03,The Eternaut,2025,https://boxd.it/Uh9U
2026-01-03,Batman Ninja vs. Yakuza League,2025,https://boxd.it/Nvwu
2026-01-03,Sinners,2025,https://boxd.it/KQMM
2026-01-03,Shanghai Noon,2000,https://boxd.it/202a
2026-01-03,Cowboys & Aliens,2011,https://boxd.it/F2G
2026-01-03,Django Unchained,2012,https://boxd.it/2cCk
2026-01-03,The Hateful Eight,2015,https://boxd.it/8gw8
2026-01-13,Marty Supreme,2025,https://boxd.it/Off0
2026-01-13,Sunshine,2007,https://boxd.it/28Xy
2026-01-13,An American Werewolf in London,1981,https://boxd.it/29yk
2026-01-13,Dog Soldiers,2002,https://boxd.it/1SRE
2026-01-13,The Wolfman,2010,https://boxd.it/20IU
2026-01-13,Silver Bullet,1985,https://boxd.it/1HTO
2026-01-13,Bad Moon,1996,https://boxd.it/FfU
2026-01-18,2012,2009,https://boxd.it/1OE2
2026-01-18,Interstellar,2014,https://boxd.it/4VZ8
2026-01-25,Dead Poets Society,1989,https://boxd.it/2aSg
2026-01-26,Fight Club,1999,https://boxd.it/2a9q
2026-01-26,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2026-01-26,La La Land,2016,https://boxd.it/a5fa
2026-01-26,Wicked: For Good,2025,https://boxd.it/AyfK
2026-02-22,Hotel Chevalier,2007,https://boxd.it/21Ic
2026-03-03,The Evil Dead,1981,https://boxd.it/29Go
2026-03-03,Evil Dead II,1987,https://boxd.it/29Ge
2026-03-03,Spider-Man 2,2004,https://boxd.it/2a88
2026-03-03,Spider-Man 3,2007,https://boxd.it/2a7Y
2026-03-19,About Time,2013,https://boxd.it/43bI
2026-04-08,The Iron Giant,1999,https://boxd.it/1Wow
2026-04-08,Pokémon the Movie 2000,1999,https://boxd.it/1RBU
2026-04-14,Exit 8,2025,https://boxd.it/S9Kk
2026-05-01,The Ritual,2017,https://boxd.it/fo0I
